datetime,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER
12/25/03,1.104357033,0.608812211,,0,52.5
12/26/03,1.112852087,0.608812211,,0,63
12/27/03,1.101525348,0.654119166,,0,70.5
12/28/03,1.110020402,0.648455796,,2.54,58.5
12/29/03,1.101525348,0.608812211,,0,48
12/30/03,1.101525348,0.608812211,,0,46
12/31/03,1.101525348,0.608812211,,0,56
1/1/04,1.098693664,0.608812211,,1.016,68
1/2/04,1.098693664,0.608812211,,0,72
1/3/04,1.093030294,0.588990418,,0,73
1/4/04,1.09019861,0.608812211,,0,63
1/5/04,1.081703555,0.608812211,,0,42
1/6/04,1.078871871,0.622970634,,0,33.5
1/7/04,1.076040186,0.56633694,,0,42.5
1/8/04,1.076040186,0.580495364,,0.762,55
1/9/04,1.073208501,0.56633694,,0,56.5
1/10/04,1.076040186,0.549346832,,0,49
1/11/04,1.070376817,0.552178517,,0,50
1/12/04,1.067545132,0.526693354,,0,54
1/13/04,1.067545132,0.526693354,,0,63.5
1/14/04,1.067545132,0.552178517,,0.508,62
1/15/04,1.098693664,0.577663679,,24.892,61
1/16/04,1.203465998,0.631465688,,65.532,64
1/17/04,1.424337404,1.019406492,,0,64
1/18/04,1.427169089,0.928792582,,0,46.5
1/19/04,1.362040341,0.7588915,,0,45.5
1/20/04,1.305406647,0.665445905,,0,45
1/21/04,1.240277899,0.622970634,,0,53
1/22/04,1.206297682,0.594653787,,0,54
1/23/04,1.186475889,0.563505255,,0,59
1/24/04,1.200634313,0.580495364,,12.446,59
1/25/04,1.226119475,0.634297373,,0,64.5
1/26/04,1.175149151,0.620138949,,0,52
1/27/04,1.09019861,0.563505255,,0,41.5
1/28/04,1.070376817,0.543683462,,0,45.5
1/29/04,1.061881763,0.555010201,,0.254,50.5
1/30/04,1.056218393,0.555010201,,0,50
1/31/04,1.047723339,0.546515147,,0,49
2/1/04,1.039228285,0.532356724,,0,55
2/2/04,1.025069861,0.504039877,,0,50.5
2/3/04,1.019406492,0.478554714,,0,45
2/4/04,1.070376817,0.501208192,,23.876,47.5
2/5/04,1.155327358,0.543683462,,4.318,54.5
2/6/04,1.127010511,0.546515147,,0,48
2/7/04,1.098693664,0.529525039,,0,45
2/8/04,1.087366925,0.529525039,,0.762,48
2/9/04,1.073208501,0.532356724,,6.35,56
2/10/04,1.104357033,0.605980526,,11.938,49.5
2/11/04,1.197802628,0.809861824,,17.78,46.5
2/12/04,1.311070016,1.033564916,,0,42
2/13/04,1.322396755,0.999584699,,2.794,35
2/14/04,1.305406647,0.974099537,,3.302,41.5
2/15/04,1.285584854,0.942951005,,0,46
2/16/04,1.254436322,0.948614375,,0,50.5
2/17/04,1.226119475,0.889148996,,0,59
2/18/04,1.214792736,0.855168779,,0,55.5
2/19/04,1.206297682,0.84950541,,0,63
2/20/04,1.186475889,0.846673725,,0,66
