DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,Barton Ck360,Colorado Rv,Bear Ck,Onion Ck,Walnut Ck
2/18/79,2.237030913,,,0,1.1,1.6140576,5.4934592,,,0.566336
2/19/79,2.237030913,,,0,1.1,1.5007904,5.380192,,,0.566336
2/20/79,2.293664607,,,0.508,10.3,1.4441568,5.4368256,,,0.5380192
2/21/79,2.26534776,,,0,11.9,1.3308896,5.4934592,,,0.5097024
2/22/79,2.237030913,,,0.762,20.3,1.2176224,5.1819744,,,0.5097024
2/23/79,2.350298301,,,36.576,17.2,2.0104928,18.0094848,,,5.4651424
2/24/79,2.435248842,,,0,11.4,2.7184128,7.3340512,,,0.9344544
2/25/79,2.378615148,,,0,9.7,1.7839584,5.3235584,,,0.6796032
2/26/79,2.378615148,,,0,8.6,1.6706912,5.6067264,,,0.6229696
2/27/79,2.378615148,,,0,12.5,1.6423744,5.66336,,,0.5946528
2/28/79,2.378615148,,,0,15.8,1.557424,5.6067264,,,0.566336
3/1/79,2.378615148,,,0,14.2,1.3875232,4.9271232,,,0.5097024
3/2/79,2.378615148,,,2.032,17.2,1.3308896,5.6067264,,,0.5097024
3/3/79,2.378615148,,,0,13.9,1.3592064,15.2344384,,,0.5946528
3/4/79,2.378615148,,,0,8.6,1.2459392,5.097024,,,0.4530688
